Name|Meaning|link
Manshi |  Woman, Lady, Matronintellectual Or Spiritual Endeavour, Another Name For Goddess Saraswati, Strong Minded Lady, A Feminine Form Of ManuSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/manshi/
Priyanka |  Beautiful, Attractive, Lovely, Symbol, Emblem, Metaphor, Body, Anatomy, Bodbeautiful, Lovable Act, A Symbol Of Love And BeautySimilar Names: | https://parenting.firstcry.com/articles/name-meaning/priyanka/
Nihitha |  Ever Living | https://parenting.firstcry.com/articles/name-meaning/nihitha/
Rishitha |  Saintly, Holy, Virtuous, Learned, Scholarly, Esotericthe Best | https://parenting.firstcry.com/articles/name-meaning/rishitha/
Aadvika |  World, Earth, Planet, Land, Unique, Distinctive, Singleworld, The Word Signifies The Person Who Is Unique In All AspectsSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aadvika/
Vedanshi |  A Part Of Veda | https://parenting.firstcry.com/articles/name-meaning/vedanshi/
Shrutika |  Goddess Parvati, It Is Another Name Of Goddess Sharada, As Shrut Devi | https://parenting.firstcry.com/articles/name-meaning/shrutika/
Peehu |  Pea | https://parenting.firstcry.com/articles/name-meaning/peehu/
Pattaambaraparidhaana |  Wearing A Dress Made Of Leather | https://parenting.firstcry.com/articles/name-meaning/pattaambaraparidhaana/
Pranshi |  Goddess Lakshmi, Of Great Stature, A Name Of The Devi LaxmiSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/pranshi/
Rithika |  Stream, Brook, Rivera Small River, A Brass Or One Who Comes Of A StreamSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/rithika/
Jiyana |  Strength, Power, Vigourgod Is Gracious | https://parenting.firstcry.com/articles/name-meaning/jiyana/
Thanishka |  Goddess Of Gold And Angel | https://parenting.firstcry.com/articles/name-meaning/thanishka/
Rudrapriya |  Goddess Durga, Dear To Rudra, Goddess Parvati, Goddess Durga'S Name | https://parenting.firstcry.com/articles/name-meaning/rudrapriya/
Rachita |  Created, One Who Is Creative And TalentedSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/rachita/
Nitya Sree |  Constant, Continual, Ceaseless, Eternal, Everlasting, Sempiternalconstant, Goddess Parvati, Ever Present | https://parenting.firstcry.com/articles/name-meaning/nitya-sree/
A’inah |  Mirror, Looking Glass, GlassmirrorSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/ainah/
Lakshika |  Aim, Point, Turn Something On Someone, Lakshya | https://parenting.firstcry.com/articles/name-meaning/lakshika/
Asvitha |  Strong, Powerful, Stalwartstrong | https://parenting.firstcry.com/articles/name-meaning/asvitha/
Yashwitha |  Success, Favourable Outcome, Prosperitysuccess | https://parenting.firstcry.com/articles/name-meaning/yashwitha/
Sunaina |  Beautiful Eyes, A Woman With Lovely Eyes, A Girl With Beautiful Eyes | https://parenting.firstcry.com/articles/name-meaning/sunaina/
Suhani |  Pleasant, Enjoyable, Entertainingpleasant, One Who Is Of Pleasant Nature | https://parenting.firstcry.com/articles/name-meaning/suhani/
Thaswika |  Goddess Parvati | https://parenting.firstcry.com/articles/name-meaning/thaswika/
Keshi |  A Woman With Beautiful Hair, A Woman With Long Hairs, Or A Long Haired WomanSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/keshi/
Avishka |  Na | https://parenting.firstcry.com/articles/name-meaning/avishka/
Ayukta |  Surya, The Sun | https://parenting.firstcry.com/articles/name-meaning/ayukta/
Aathmika |  Soul, Spirit, Personarelated To Aathma, Someone Who Is Related To Aathma Or Soul, One Who Is Very Soulful And Close To... | https://parenting.firstcry.com/articles/name-meaning/aathmika/
Aryahi |  Goddess DurgaSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aryahi/
Dakshakanya |  Able Daughter, Daughter Of DakshaSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/dakshakanya/
Vidhita |  Goddess Of Mexico, A Goddess | https://parenting.firstcry.com/articles/name-meaning/vidhita/
Chiti |  Love, Deep Affection, Devotionlove, One Whose Heart Is Filled With Love.Similar Names: | https://parenting.firstcry.com/articles/name-meaning/chiti/
Yashika |  Success, Favourable Outcome, Prosperitysuccess, Yash Ko Prapth Karne Wali | https://parenting.firstcry.com/articles/name-meaning/yashika/
Srishty |  Creation, Design, Productioncreation, Nature Or Earth | https://parenting.firstcry.com/articles/name-meaning/srishty/
Neha |  Love, Deep Affection, Devotion, Rain, Rainfall, The Wet, Affectionate, Loving, Sympatheticdew Drop, Admired For Look, Bright One, Naughty One, The Shower... | https://parenting.firstcry.com/articles/name-meaning/neha/
Bharti |  Indian, Well | https://parenting.firstcry.com/articles/name-meaning/bharti-2/
Riyanshika |  Na | https://parenting.firstcry.com/articles/name-meaning/riyanshika/
Madhukaitabhahantri |  Slayer Of The Demon | https://parenting.firstcry.com/articles/name-meaning/madhukaitabhahantri/
Aarna |  Water, Aqua, Adam'S Ale, Wave, Move To And Fro, Swing, Effervescing, Goddess Lakshmi, Stream, This Is An Another Name Of Goddess... | https://parenting.firstcry.com/articles/name-meaning/aarna/
Kavya |  Poem, Verse, Verselet, Worth, Value, Valuation, Learning, Study, Researchpoetry In Motion, Laden With Sentiment, Foresight, With The Qualities Of A Sage... | https://parenting.firstcry.com/articles/name-meaning/kavya/
Aadhira |  Lightning, Strong, Powerful, Stalwart, Moon, Satellite, Fiddle, Loaf, Idle, Mope, Drift, Stooge Aroundlightning, The Moon, To Sentimentalize And Remember NostalgicallySimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aadhira/
Aahna |  Exist, Live, Be, Survive, Remain Alive, Continue, Life, Existence, Entityexist, To LiveSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aahna/
Aanya |  Inexhaustible, Unlimited, Copious, Limitless, Boundless, Infinite, Resurrection, Raising From The Dead, Rising From The Deadinexhaustible, The One Who Is Kind And... | https://parenting.firstcry.com/articles/name-meaning/aanya/
Sanjanaa |  Gentle, Kind, Mild, Creator, God, One'S Makergentle | https://parenting.firstcry.com/articles/name-meaning/sanjanaa/
Ayushi |  Long | https://parenting.firstcry.com/articles/name-meaning/ayushi/
Shreyasi |  Good, Fine, Satisfactorygood, One Who Is Most Beautiful | https://parenting.firstcry.com/articles/name-meaning/shreyasi/
Aashrita |  Somebody Who Gives Shelter, Goddess Lakshmi, One Who Has Taken Refuge In The Lord, One Who Seeks Shelter In Abode Of... | https://parenting.firstcry.com/articles/name-meaning/aashrita/
Aasya |  Hopeful, Optimistic, Upbeatone Who Tends To The Weak And Heals | https://parenting.firstcry.com/articles/name-meaning/aasya/
Maanvi |  Girl With Humanity, One Who Poses All Best Qualities | https://parenting.firstcry.com/articles/name-meaning/maanvi/
Aagarna |  The Word Signifies The Person Having Natural, Born Abilities Of MusicSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aagarna/
Saadvitha |  Na | https://parenting.firstcry.com/articles/name-meaning/saadvitha/
Deekshika |  Na | https://parenting.firstcry.com/articles/name-meaning/deekshika/
Aanvi |  One Of Devis Names, Name Of A Goddess | https://parenting.firstcry.com/articles/name-meaning/aanvi/
Varshika |  A Goddess Name | https://parenting.firstcry.com/articles/name-meaning/varshika/
Swati |  A Nakshatra, Goddess Of Learning, Goddess Saraswati, 15Th NakshatraSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/swati/
Anvita |  Reasoned, Logical, Understood, Comprehend, Get The Hang Ofwho Bridges The Gap, The Gracious One Who Is Loved By AllSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/anvita/
Rakshita |  Protector, Defender, Hired Gunwho Protect, Destroyer Of Evil, Destroyer Of Demons, One Who Safe GuardsSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/rakshita/
Vaishnavi |  Worshipper Of Lord Vishnu, The Personified Energy Of Vishnu | https://parenting.firstcry.com/articles/name-meaning/vaishnavi/
Nandini |  Daughter, Female Child, Lass, Happy, Contented, Cock | https://parenting.firstcry.com/articles/name-meaning/nandini/
Aaghnya |  Born From Fire, Goddess Lakshmi, The Name Has A Meaning Of Someone Born From Fire, It Is Also The Name Of... | https://parenting.firstcry.com/articles/name-meaning/aaghnya/
Sejal |  River Water, Pure Flowing Water, Water Of The RiverSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/sejal/
Shrinidhi |  Treasure, Riches, Wealth, Affluence, Mammon, Prosperity, Luxurytreasure | https://parenting.firstcry.com/articles/name-meaning/shrinidhi/
Aradhya |  Worshipped, Blessing Of Lord Ganesh | https://parenting.firstcry.com/articles/name-meaning/aradhya-2/
Mahira |  Expert, Specialist, Adept, Quick, Fast, Brisk, Talented, Gifted, Crackhighly Skilled, Powerful, A Knowledgeable, Expert PersonSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/mahira/
Krushika |  Hard Worker To Reach Goal | https://parenting.firstcry.com/articles/name-meaning/krushika/
Ameyaa |  Boundless, Limitless, Endless, Magnanimous, Generous, Unselfishboundless, One Who Is Beyond Measure (Celebrity Name: Madhoo (Roja)) | https://parenting.firstcry.com/articles/name-meaning/ameyaa/
Aarohi |  Progressive, Continuing, Gradual, Evolving, A Music Tune, The Musical Note Or Being Very SoundSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aarohi/
